Description,tBuOMe,THF,MeCN
Epsilon,4.50,7.60,37.50
Radical,-40897.803937,-40897.886762,-40897.996473
Enolate,-40901.108345,-40901.333405,-40901.634352
Cs-enolate,-41440.017326,-41440.164330,-41440.361203
K-enolate,-41664.282229,-41664.421862,-41664.596619
Na-enolate,-45312.005775,-45312.143673,-45312.318864
Li-enolate,-41103.337497,-41103.457615,-41103.611124
Fc,-13880.031485,-13880.055769,-13880.087859
Fc+,-13875.026050,-13875.231163,-13875.470966
Cs+,-539.874449,-540.171494,-540.515805
K+,-763.958291,-764.310841,-764.718464
Na+,-4411.438044,-4411.885995,-4412.404197
Li+,-202.507438,-203.054260,-203.681739
