Description,tBuOMe,THF,MeCN
Epsilon,4.5,7.6,37.5
Radical,-47612.95423,-47613.04486,-47613.16802
Enolate,-47615.0276,-47615.25136,-47615.56922
Cs-enolate,-48154.99816,-48155.15341,-48155.3789
K-enolate,-48379.14238,-48379.29806,-48379.51748
Na-enolate,-52026.64845,-52026.79199,-52026.99797
Li-enolate,-47817.94119,-47818.08342,-47818.27986
Fc,-13880.03149,-13880.05577,-13880.08786
Fc+,-13875.02605,-13875.23116,-13875.47097
Cs+,-539.874449,-540.171494,-540.515805
K+,-763.958291,-764.310841,-764.718464
Na+,-4411.438044,-4411.885995,-4412.404197
Li+,-202.507438,-203.05426,-203.681739
