Description,tBuOMe,THF,MeCN
Epsilon,4.500000,7.600000,37.500000
Radical,-33266.901596,-33266.970545,-33267.052503
Enolate,-33269.491859,-33269.744671,-33270.094186
Cs-enolate,-33809.64401,-33809.82961,-33810.06204
K-enolate,-34033.9035,-34034.09647,-34034.33974
Na-enolate,-37681.57472,-37681.77592,-37682.02614
Li-enolate,-33472.86735,-33473.04427,-33473.26933
Fc,-13880.031485,-13880.055769,-13880.087859
Fc+,-13875.026050,-13875.231163,-13875.470966
Cs+,-539.874449,-540.171494,-540.515805
K+,-763.958291,-764.310841,-764.718464
Na+,-4411.438044,-4411.885995,-4412.404197
Li+,-202.507438,-203.054260,-203.681739
